ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Time_taken(min)
4BDA,HYDRES17DEL02,35,5,17.451976,78.385883,17.471976,78.405883,Snack ,scooter ,11
9D26,BANGRES17DEL02,26,4.9,12.972532,77.608179,12.992532,77.628179,Buffet ,scooter ,11
9B18,BANGRES17DEL01,22,4.8,12.972532,77.608179,13.042532,77.678179,Snack ,motorcycle ,28
5D99,CHENRES11DEL01,35,4.3,13.064181,80.236442,13.134181,80.306442,Snack ,motorcycle ,33
4F0,MUMRES17DEL02,29,4.6,19.121999,72.908493,19.201999,72.988493,Drinks ,scooter ,33
B796,SURRES17DEL03,37,4.7,21.149569,72.772697,21.239569,72.862697,Snack ,motorcycle ,52
85B4,MUMRES07DEL01,28,4.6,19.091458,72.827808,19.201458,72.937808,Snack ,scooter ,22
C644,KOLRES16DEL02,37,4.9,22.539129,88.365507,22.559129,88.385507,Snack ,scooter ,16
6999,MUMRES02DEL03,23,4.9,19.221315,72.862381,19.281315,72.922381,Drinks ,electric_scooter ,11
63B6,BANGRES05DEL03,27,4.9,12.970324,77.645748,13.030324,77.705748,Drinks ,scooter ,25
A30B,CHENRES11DEL01,37,4.8,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,26
3556,SURRES09DEL01,33,5,21.175975,72.795503,21.185975,72.805503,Snack ,scooter ,18
5554,RANCHIRES15DEL01,31,4.9,23.369746,85.33982,23.409746,85.37982,Snack ,motorcycle ,16
25FD,BANGRES19DEL01,31,4.8,12.914264,77.6784,13.024264,77.7884,Drinks ,scooter ,23
C1FF,AURGRES20DEL03,25,5,0.0,0.0,0.03,0.03,Snack ,motorcycle ,15
7AC8,COIMBRES14DEL02,28,4.8,11.003681,76.975525,11.083681,77.055525,Drinks ,motorcycle ,36
3DA1,SURRES08DEL03,31,4.7,21.173343,72.792731,21.233343,72.852731,Snack ,motorcycle ,16
272D,COIMBRES07DEL03,24,4.7,10.96185,76.971082,11.05185,77.061082,Buffet ,motorcycle ,19
DDC5,AGRRES12DEL03,39,4.6,27.165108,78.015053,27.255108,78.105053,Snack ,motorcycle ,27
8E6C,VADRES02DEL02,39,4.2,0.0,0.0,0.08,0.08,Snack ,scooter ,49
B002,JAPRES14DEL01,32,4.5,26.88842,75.800689,26.89842,75.810689,Buffet ,scooter ,20
395B,VADRES04DEL03,36,4.7,0.0,0.0,0.06,0.06,Snack ,motorcycle ,30
8AA2,JAPRES18DEL02,25,4.8,26.913987,75.752891,26.993987,75.832891,Drinks ,scooter ,18
B55A,MYSRES04DEL03,33,4.9,12.3085,76.665808,12.3385,76.695808,Drinks ,scooter ,22
73CC,SURRES12DEL01,30,4.4,21.183434,72.814492,21.253434,72.884492,Drinks ,scooter ,34
BE80,MUMRES04DEL01,33,5,19.254567,72.848923,19.364567,72.958923,Buffet ,motorcycle ,24
1609,PUNERES02DEL01,36,4.9,18.55144,73.804855,18.59144,73.844855,Drinks ,scooter ,17
D255,ALHRES07DEL02,21,4.8,25.449659,81.839744,25.469659,81.859744,Meal ,electric_scooter ,14
DE72,DEHRES19DEL02,39,4.9,30.372202,78.077151,30.422202,78.127151,Meal ,motorcycle ,30
98AA,VADRES16DEL02,23,4.8,0.0,0.0,0.02,0.02,Meal ,scooter ,15
273A,VADRES09DEL01,35,4.8,0.0,0.0,0.04,0.04,Buffet ,scooter ,16
A258,CHENRES12DEL03,39,4.6,12.972793,80.249982,13.062793,80.339982,Snack ,scooter ,36
8B53,SURRES11DEL01,22,4.7,21.157735,72.768778,21.197735,72.808778,Buffet ,scooter ,18
BBDE,SURRES01DEL01,32,4.6,21.186438,72.794115,21.226438,72.834115,Meal ,scooter ,17
5DED,VADRES15DEL02,24,4.8,0.0,0.0,0.08,0.08,Buffet ,motorcycle ,15
1A70,MYSRES14DEL02,29,4.7,0.0,0.0,0.02,0.02,Buffet ,motorcycle ,17
A9F,BANGRES13DEL01,29,4.6,12.935662,77.61413,12.975662,77.65413,Drinks ,scooter ,19
4B7F,HYDRES13DEL03,26,4.7,17.431477,78.40035,17.491477,78.46035,Buffet ,motorcycle ,10
C606,BHPRES12DEL02,20,4.5,0.0,0.0,0.05,0.05,Drinks ,motorcycle ,27
B962,CHENRES11DEL03,35,4.1,13.064181,80.236442,13.154181,80.326442,Buffet ,motorcycle ,37
633C,BANGRES010DEL03,39,4.6,12.933298,77.614293,13.023298,77.704293,Drinks ,scooter ,44
2DC6,VADRES20DEL01,34,4.7,22.311358,73.164798,22.351358,73.204798,Drinks ,electric_scooter ,28
903A,BANGRES11DEL01,27,4.7,12.934365,77.616155,13.044365,77.726155,Snack ,scooter ,42
C444,DEHRES01DEL01,30,4.8,0.0,0.0,0.11,0.11,Snack ,motorcycle ,25
1FB7,CHENRES02DEL01,25,4.4,13.086438,80.220672,13.196438,80.330672,Snack ,scooter ,39
34D7,MUMRES04DEL01,25,4.7,19.254567,72.848923,19.364567,72.958923,Meal ,motorcycle ,20
156B,JAPRES03DEL02,30,5,26.913483,75.803139,26.933483,75.823139,Buffet ,motorcycle ,31
56AD,HYDRES04DEL03,24,4.6,17.411028,78.329645,17.471028,78.389645,Buffet ,motorcycle ,13
837C,PUNERES14DEL02,39,4.8,18.516216,73.842527,18.566216,73.892527,Meal ,motorcycle ,28
CBC4,GOARES04DEL01,25,4.8,15.5696,73.742294,15.6096,73.782294,Snack ,scooter ,19
C19E,AURGRES08DEL02,37,4.6,19.876428,75.364792,19.956428,75.444792,Buffet ,motorcycle ,42
1D60,BANGRES12DEL01,24,5,12.939496,77.625999,12.949496,77.635999,Drinks ,motorcycle ,23
95FB,HYDRES05DEL01,25,4.2,17.433809,78.386744,17.543809,78.496744,Meal ,motorcycle ,39
8195,RANCHIRES17DEL01,32,4.6,23.374878,85.335739,23.384878,85.345739,Drinks ,motorcycle ,25
C042,AGRRES010DEL01,34,4.7,-27.163303,78.057044,27.233303,78.127044,Drinks ,scooter ,15
6D19,INDORES12DEL02,38,4.9,22.74806,75.8934,22.76806,75.9134,Drinks ,scooter ,15
3.5E+07,JAPRES15DEL03,36,4.8,26.891191,75.802083,26.981191,75.892083,Buffet ,electric_scooter ,15
B437,SURRES16DEL01,25,5,21.160437,72.774209,21.270437,72.884209,Meal ,motorcycle ,15
9.7E+04,MYSRES16DEL02,29,5,12.316967,76.603067,12.366967,76.653067,Drinks ,motorcycle ,18
A3E0,MUMRES05DEL03,36,4.7,18.927584,72.832585,19.017584,72.922585,Drinks ,electric_scooter ,29
4161,COIMBRES19DEL02,33,4.7,11.022298,76.998349,11.072298,77.048349,Snack ,motorcycle ,20
1236,MYSRES07DEL01,36,4.4,12.325461,76.632278,12.365461,76.672278,Meal ,scooter ,39
2558,PUNERES17DEL01,21,4.8,18.530963,73.828972,18.640963,73.938972,Snack ,motorcycle ,19
3185,HYDRES19DEL03,25,4.8,17.458998,78.500366,17.488998,78.530366,Snack ,scooter ,19
3C57,MUMRES14DEL02,23,4.8,19.1813,72.836191,19.3113,72.966191,Meal ,motorcycle ,17
4863,COIMBRES02DEL01,25,4.6,11.022477,76.995667,11.032477,77.005667,Snack ,motorcycle ,15
6757,INDORES05DEL02,24,4.3,22.727021,75.884167,22.747021,75.904167,Meal ,motorcycle ,19
22AD,BANGRES03DEL03,27,4.6,12.979166,77.640709,13.069166,77.730709,Buffet ,motorcycle ,29
9F99,MUMRES11DEL01,23,4.8,18.994237,72.825553,19.104237,72.935553,Snack ,scooter ,22
6781,MYSRES12DEL02,21,4.3,12.284747,76.625861,12.414747,76.755861,Drinks ,scooter ,42
1B8D,SURRES09DEL02,27,4.7,21.175975,72.795503,21.195975,72.815503,Snack ,scooter ,12
1AEA,COIMBRES12DEL02,32,4.2,11.000762,76.981876,11.130762,77.111876,Snack ,motorcycle ,38
1E+42,SURRES08DEL01,25,4.6,21.173343,72.792731,21.283343,72.902731,Drinks ,motorcycle ,23
DDC8,KNPRES05DEL02,39,4.7,26.479108,80.315042,26.499108,80.335042,Meal ,scooter ,15
24AC,SURRES05DEL02,27,4.6,21.175104,72.804342,21.255104,72.884342,Snack ,motorcycle ,24
3F01,MUMRES15DEL01,39,3.8,19.176269,72.836721,19.286269,72.946721,Drinks ,motorcycle ,37
628C,BANGRES15DEL02,31,4.8,12.975377,77.696664,13.025377,77.746664,Snack ,scooter ,24
6C38,RANCHIRES11DEL03,31,4.8,23.359194,85.325447,23.419194,85.385447,Buffet ,electric_scooter ,13
4BEB,MYSRES08DEL01,20,4.8,12.297954,76.665169,12.307954,76.675169,Drinks ,motorcycle ,16
8339,RANCHIRES07DEL02,36,4.9,23.359407,85.325055,23.439407,85.405055,Drinks ,motorcycle ,42
3EC5,RANCHIRES01DEL03,20,4.9,23.416792,85.316842,23.506792,85.406842,Meal ,motorcycle ,17
ADB4,JAPRES17DEL03,24,4.6,26.892312,75.806896,26.922313,75.836896,Drinks ,motorcycle ,25
6E+02,VADRES06DEL01,29,4.6,22.31279,73.170283,22.42279,73.280283,Snack ,electric_scooter ,25
2BC0,INDORES14DEL01,39,4.2,22.761593,75.886362,22.871593,75.996362,Snack ,scooter ,39
9.9E+08,COIMBRES17DEL01,37,4.8,11.026117,76.944652,11.066117,76.984652,Meal ,scooter ,18
39EF,CHENRES11DEL01,32,4.9,13.064181,80.236442,13.104181,80.276442,Drinks ,motorcycle ,28
E264,KNPRES17DEL02,22,4.5,26.483042,80.317833,26.533042,80.367833,Drinks ,scooter ,18
BD03,COIMBRES12DEL02,23,4.9,11.000762,76.981876,11.130762,77.111876,Meal ,scooter ,18
9A29,RANCHIRES04DEL01,33,4.7,23.359033,85.325347,23.469033,85.435347,Snack ,scooter ,49
D0E5,KOLRES17DEL03,23,4.6,22.569358,88.433452,22.599358,88.463452,Drinks ,motorcycle ,15
A480,BANGRES19DEL02,27,4.6,12.914264,77.6784,12.994264,77.7584,Drinks ,motorcycle ,21
B46C,MUMRES17DEL01,34,4.7,19.121999,72.908493,19.161999,72.948493,Snack ,scooter ,23
7150,SURRES14DEL01,26,5,21.157729,72.768726,21.167729,72.778726,Meal ,scooter ,11
1E+58,VADRES14DEL03,31,4.6,22.311603,73.165012,22.371603,73.225012,Snack ,motorcycle ,25
4460,PUNERES09DEL02,32,4.9,18.536562,73.896485,18.556562,73.916485,Snack ,motorcycle ,18
977D,INDORES19DEL02,27,4.7,22.745536,75.893106,22.765536,75.913106,Buffet ,motorcycle ,14
1602,BANGRES010DEL03,21,4.9,12.933298,77.614293,13.023298,77.704293,Drinks ,motorcycle ,36
894E,BANGRES12DEL02,28,4.8,12.939496,77.625999,12.989496,77.675999,Drinks ,motorcycle ,18
5A01,VADRES04DEL01,24,4.9,0.0,0.0,0.04,0.04,Meal ,scooter ,17
655,HYDRES14DEL01,33,4.4,17.426228,78.407495,17.436228,78.417495,Snack ,motorcycle ,28
20F6,BANGRES11DEL03,20,4.6,12.934365,77.616155,13.024365,77.706155,Buffet ,motorcycle ,44
3DB1,COIMBRES13DEL03,31,4.3,11.003669,76.976494,11.063669,77.036494,Snack ,motorcycle ,20
1EC7,PUNERES05DEL03,29,4.6,18.543626,73.905101,18.573626,73.935101,Snack ,scooter ,19
8ED2,VADRES20DEL01,36,5,22.311358,73.164798,22.381358,73.234798,Snack ,motorcycle ,35
64CC,CHENRES19DEL01,31,4.2,12.986047,80.218114,13.096047,80.328114,Meal ,motorcycle ,50
2ED0,HYDRES02DEL03,39,4.1,17.41233,78.449654,17.47233,78.509654,Meal ,scooter ,34
4008,SURRES010DEL02,29,4.6,21.17106,72.789292,21.25106,72.869292,Meal ,electric_scooter ,17
7553,SURRES03DEL01,29,4.6,21.186884,72.793616,21.226884,72.833616,Snack ,scooter ,23
35D8,COIMBRES17DEL03,37,4.9,11.026117,76.944652,11.056117,76.974652,Buffet ,motorcycle ,27
9832,VADRES08DEL01,33,4.7,0.0,0.0,0.04,0.04,Snack ,motorcycle ,26
4C88,MUMRES08DEL01,31,3.9,19.065838,72.832658,19.135838,72.902658,Buffet ,scooter ,35
9693,VADRES18DEL01,37,4.6,0.0,0.0,0.04,0.04,Drinks ,motorcycle ,41
81A5,BANGRES04DEL03,26,4.4,12.98041,77.640489,13.04041,77.700489,Buffet ,motorcycle ,23
AE56,COIMBRES02DEL01,24,4.6,11.022477,76.995667,11.132477,77.105667,Snack ,motorcycle ,30
8D18,RANCHIRES12DEL02,23,4.8,0.0,0.0,0.02,0.02,Buffet ,scooter ,19
9CBA,VADRES18DEL01,36,4.9,0.0,0.0,0.01,0.01,Buffet ,scooter ,27
9B79,MYSRES13DEL01,39,4.8,12.310972,76.659264,12.350972,76.699264,Snack ,motorcycle ,28
596A,COIMBRES03DEL02,20,4.7,11.025083,77.015393,11.105083,77.095393,Drinks ,motorcycle ,24
78AA,MYSRES16DEL02,20,5,12.316967,76.603067,12.446967,76.733067,Meal ,motorcycle ,36
D7EC,KOLRES04DEL03,29,4.3,22.538731,88.364878,22.598731,88.424878,Buffet ,motorcycle ,28
55B1,COIMBRES11DEL01,36,4.8,11.001753,76.986241,11.111753,77.096241,Drinks ,motorcycle ,31
8.7E+05,VADRES13DEL03,36,4,22.310237,73.158921,22.400237,73.248921,Meal ,motorcycle ,44
82C3,RANCHIRES04DEL02,22,4.8,23.359033,85.325347,23.439033,85.405347,Drinks ,scooter ,15
5397,PUNERES18DEL01,38,4.4,18.593481,73.785901,18.663481,73.855901,Buffet ,motorcycle ,33
876B,SURRES01DEL02,39,4.9,21.186438,72.794115,21.236438,72.844115,Buffet ,motorcycle ,30
3A5A,INDORES08DEL02,24,4.9,22.725748,75.898497,22.775748,75.948497,Snack ,scooter ,22
5.1E+05,VADRES18DEL01,30,4.1,0.0,0.0,0.07,0.07,Snack ,motorcycle ,43
5631,HYDRES18DEL03,35,4.8,17.450851,78.379347,17.540851,78.469347,Meal ,motorcycle ,48
1DAC,CHENRES07DEL03,33,4.5,13.081878,80.248519,13.171878,80.338519,Drinks ,electric_scooter ,19
DE01,KOCRES010DEL01,39,4.7,10.035573,76.336958,10.105573,76.406958,Snack ,motorcycle ,21
8771,VADRES11DEL02,31,4.3,22.308096,73.167753,22.388096,73.247753,Drinks ,motorcycle ,44
3645,CHENRES20DEL01,37,4.5,12.975996,80.221898,12.985996,80.231898,Drinks ,scooter ,26
1FF1,MYSRES04DEL03,37,4.7,12.3085,76.665808,12.3385,76.695808,Buffet ,scooter ,26
4A3C,MUMRES13DEL01,33,5,19.178321,72.834715,19.188321,72.844715,Meal ,motorcycle ,31
6E0D,RANCHIRES03DEL03,24,4.6,0.0,0.0,0.06,0.06,Meal ,scooter ,19
6CC6,JAPRES08DEL02,33,4.5,26.910262,75.783013,26.990262,75.863013,Snack ,scooter ,18
C141,ALHRES12DEL01,39,4.7,25.443994,81.860187,25.513994,81.930187,Meal ,motorcycle ,38
690F,RANCHIRES11DEL03,37,4.6,23.359194,85.325447,23.449194,85.415447,Snack ,motorcycle ,32
B4BA,HYDRES19DEL02,25,4.9,17.458998,78.500366,17.508998,78.550366,Meal ,scooter ,17
63A9,PUNERES17DEL03,28,4.8,18.530963,73.828972,18.590963,73.888972,Buffet ,scooter ,11
88DD,MYSRES010DEL01,38,4.7,12.321214,76.621094,12.361214,76.661094,Buffet ,motorcycle ,31
1B58,JAPRES03DEL01,29,4.6,26.913483,75.803139,26.983483,75.873139,Drinks ,motorcycle ,43
87A8,MYSRES04DEL03,31,4.6,12.3085,76.665808,12.3685,76.725808,Meal ,motorcycle ,25
3F8D,MUMRES06DEL03,25,4.8,19.055831,72.833984,19.115831,72.893984,Snack ,motorcycle ,22
290C,MYSRES18DEL01,35,4.9,12.337928,76.617889,12.407928,76.687889,Drinks ,motorcycle ,43
7ECE,RANCHIRES18DEL01,39,4.7,23.351489,85.324253,23.421489,85.394253,Buffet ,motorcycle ,42
1365,INDORES06DEL02,38,3.9,22.728163,75.884212,22.808163,75.964212,Meal ,motorcycle ,42
33A4,CHENRES15DEL03,35,4.7,13.026286,80.275235,13.056286,80.305235,Drinks ,motorcycle ,34
8F3C,JAPRES07DEL02,29,4.7,26.766536,75.837333,26.786536,75.857333,Snack ,motorcycle ,17
2FE1,SURRES18DEL03,27,4.6,21.149834,72.778666,21.179834,72.808666,Snack ,scooter ,25
4B5B,MYSRES04DEL03,38,4.3,12.3085,76.665808,12.3985,76.755808,Meal ,motorcycle ,54
7405,SURRES19DEL01,36,4.9,21.149669,72.772629,21.219669,72.842629,Buffet ,motorcycle ,21
6245,HYDRES04DEL01,26,4,17.411028,78.329645,17.451028,78.369645,Buffet ,motorcycle ,34
D02B,KNPRES16DEL03,26,4.1,26.482581,80.315628,26.572581,80.405628,Meal ,motorcycle ,36
1F0E,MYSRES12DEL03,36,4.9,12.284747,76.625861,12.344747,76.685861,Drinks ,motorcycle ,17
7085,JAPRES09DEL01,21,4.7,26.911378,75.789034,26.921378,75.799034,Meal ,motorcycle ,16
57FA,CHENRES04DEL02,35,4.7,13.02978,80.208812,13.10978,80.288812,Meal ,electric_scooter ,27
57FC,MYSRES09DEL01,20,4.5,12.323194,76.630583,12.363194,76.670583,Meal ,motorcycle ,26
7A1F,PUNERES19DEL03,23,4.6,18.563934,73.915367,18.653934,74.005367,Snack ,motorcycle ,46
CEAC,KOLRES18DEL03,37,5,22.569367,88.433187,22.629367,88.493187,Buffet ,motorcycle ,29
A0A5,BANGRES14DEL03,26,4.8,12.949934,77.699386,13.009934,77.759386,Snack ,motorcycle ,23
892D,SURRES09DEL02,29,5,21.175975,72.795503,21.255975,72.875503,Snack ,scooter ,11
6118,INDORES09DEL01,26,4.9,22.725835,75.887648,22.835835,75.997648,Snack ,motorcycle ,28
46FD,PUNERES09DEL03,29,4.8,18.536562,73.896485,18.596562,73.956485,Meal ,motorcycle ,25
5134,RANCHIRES01DEL02,29,4.7,23.416792,85.316842,23.436792,85.336842,Snack ,motorcycle ,11
D418,LUDHRES010DEL03,21,4.9,30.89286,75.822199,30.92286,75.852199,Meal ,scooter ,26
256C,MYSRES13DEL02,22,4.3,12.310972,76.659264,12.330972,76.679264,Meal ,motorcycle ,23
6055,JAPRES18DEL02,31,4,26.913987,75.752891,26.993987,75.832891,Snack ,motorcycle ,39
7BFB,COIMBRES11DEL02,20,4.5,11.001753,76.986241,11.021753,77.006241,Snack ,motorcycle ,11
7220,VADRES13DEL02,30,3.9,22.310237,73.158921,22.390237,73.238921,Drinks ,electric_scooter ,32
1568,BANGRES01DEL01,36,4.8,12.933284,77.615428,13.003284,77.685428,Snack ,motorcycle ,43
41EA,MYSRES08DEL01,24,4.7,12.297954,76.665169,12.337954,76.705169,Buffet ,scooter ,13
1C60,MYSRES15DEL01,32,4.7,12.352058,76.60665,12.362058,76.61665,Buffet ,electric_scooter ,25
7944,CHENRES02DEL03,25,5,13.086438,80.220672,13.146439,80.280672,Drinks ,motorcycle ,27
77EE,HYDRES12DEL01,27,4.5,17.429585,78.392621,17.469585,78.432621,Drinks ,scooter ,29
2192,BANGRES07DEL01,32,4.1,12.978453,77.643685,13.048453,77.713685,Buffet ,motorcycle ,33
48C7,CHENRES09DEL01,23,4.7,13.044694,80.26147,13.084694,80.30147,Drinks ,motorcycle ,19
78BF,BANGRES04DEL02,39,4.4,12.98041,77.640489,13.11041,77.770489,Meal ,motorcycle ,33
7A5A,VADRES04DEL03,20,4.8,0.0,0.0,0.06,0.06,Snack ,motorcycle ,28
4321,JAPRES13DEL02,20,4.8,26.846156,75.8023,26.926156,75.8823,Drinks ,electric_scooter ,15
E00D,ALHRES07DEL03,29,4.6,25.449659,81.839744,25.479659,81.869744,Meal ,scooter ,29
1E+86,JAPRES06DEL03,26,4.9,26.911927,75.797282,27.051927,75.937282,Meal ,scooter ,18
CFF0,KOCRES03DEL01,25,5,10.020683,76.310631,10.030683,76.320631,Meal ,motorcycle ,14
1E2D,BANGRES13DEL01,34,4.7,12.935662,77.61413,12.975662,77.65413,Snack ,motorcycle ,30
D072,GOARES02DEL01,31,4.9,15.585658,73.743606,15.625658,73.783606,Snack ,motorcycle ,28
9A57,RANCHIRES03DEL02,24,4.7,0.0,0.0,0.13,0.13,Snack ,motorcycle ,39
427B,HYDRES12DEL03,30,4.9,17.429585,78.392621,17.519585,78.482621,Meal ,motorcycle ,30
5.2E+03,JAPRES07DEL02,36,4.8,26.766536,75.837333,26.896536,75.967333,Buffet ,motorcycle ,36
9395,JAPRES13DEL03,36,4.4,26.846156,75.8023,26.986156,75.9423,Snack ,motorcycle ,37
B5D2,JAPRES18DEL03,26,4.7,26.913987,75.752891,27.053987,75.892891,Meal ,motorcycle ,43
6C4D,VADRES05DEL01,30,4.6,22.310526,73.170937,22.420526,73.280937,Buffet ,scooter ,29
D1C8,AURGRES02DEL03,20,4.8,0.0,0.0,0.03,0.03,Drinks ,scooter ,25
98CA,BANGRES17DEL02,33,4.7,12.972532,77.608179,13.022532,77.658179,Buffet ,electric_scooter ,15
1B5B,RANCHIRES14DEL01,29,4.6,0.0,0.0,0.07,0.07,Snack ,scooter ,24
644B,MUMRES20DEL03,34,4,19.103249,72.846749,19.193249,72.936749,Snack ,motorcycle ,39
7A2D,HYDRES14DEL02,36,4.6,17.426228,78.407495,17.506228,78.487495,Buffet ,motorcycle ,20
E13F,KNPRES02DEL02,33,4.6,26.471617,80.313564,26.491617,80.333564,Buffet ,motorcycle ,15
C278,AURGRES19DEL01,22,4.8,19.866969,75.318894,19.976969,75.428894,Drinks ,motorcycle ,16
5912,PUNERES18DEL01,38,4.7,18.593481,73.785901,18.603481,73.795901,Drinks ,scooter ,19
AB33,BANGRES08DEL02,27,4.9,12.906229,77.596791,12.986229,77.676791,Drinks ,scooter ,20
DD96,KNPRES16DEL01,32,4.8,26.482581,80.315628,26.552581,80.385628,Meal ,scooter ,25
7646,BANGRES010DEL02,26,4.8,12.933298,77.614293,13.013298,77.694293,Snack ,motorcycle ,43
5EF5,INDORES03DEL02,29,4.5,22.751857,75.866699,22.881857,75.996699,Drinks ,motorcycle ,15
7EF7,COIMBRES16DEL02,31,4.5,11.010375,76.95295,11.090375,77.03295,Buffet ,motorcycle ,29
1136,HYDRES20DEL01,28,4.6,17.483216,78.552111,17.523216,78.592111,Drinks ,motorcycle ,14
D032,AGRRES08DEL03,21,4.8,27.160934,78.044095,27.220934,78.104095,Buffet ,motorcycle ,11
199D,COIMBRES15DEL02,21,4,11.006686,76.951736,11.056686,77.001736,Buffet ,motorcycle ,19
871C,RANCHIRES12DEL02,30,4.9,0.0,0.0,0.08,0.08,Drinks ,motorcycle ,29
CF18,ALHRES05DEL01,29,4.7,25.457687,81.835585,25.497687,81.875585,Buffet ,motorcycle ,11
1DAD,MUMRES01DEL01,20,4.8,19.12663,72.829976,19.13663,72.839976,Snack ,motorcycle ,14
C918,AURGRES14DEL03,28,5,19.875016,75.322405,19.965016,75.412405,Snack ,motorcycle ,15
33C1,MUMRES13DEL01,25,4.7,19.178321,72.834715,19.248321,72.904715,Meal ,motorcycle ,16
1B50,PUNERES16DEL01,29,4.6,18.536718,73.830327,18.646718,73.940327,Buffet ,motorcycle ,43
27FE,CHENRES14DEL02,38,4.8,13.026279,80.174568,13.046279,80.194568,Buffet ,motorcycle ,20
1536,HYDRES06DEL03,39,4.9,17.455894,78.375467,17.485894,78.405467,Drinks ,motorcycle ,26
